rot_crop,RCI,n,RCI_unique,RCI_match
Alfalfa-Alfalfa-Alfalfa-Dbl Crop WinWht/Soybeans-Corn-Corn,4,3,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Dbl Crop WinWht/Soybeans-Soybeans-Corn,3.24,1,4,FALSE
Alfalfa-Alfalfa-Alfalfa-Deciduous Forest-Corn-Corn,3.24,1,3.24,TRUE
Alfalfa-Alfalfa-Alfalfa-Deciduous Forest-Soybeans-Corn,3.24,1,4,FALSE
Alfalfa-Alfalfa-Alfalfa-Developed/Open Space-Corn-Corn,3.24,1,3.24,TRUE
Alfalfa-Alfalfa-Alfalfa-Fallow/Idle Cropland-Corn-Corn,3.24,1,3.24,TRUE
Alfalfa-Alfalfa-Alfalfa-Fallow/Idle Cropland-Soybeans-Corn,3.24,1,4,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Alfalfa-Corn,2.45,14,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Alfalfa-Corn,2.65,3,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Alfalfa-Corn,2.74,1,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Alfalfa-Corn,3.24,15,3.24,TRUE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Alfalfa-Corn,3.74,1,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Corn-Corn,1.41,3,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Corn-Corn,3.24,16,3.24,TRUE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Corn-Corn,3.46,11,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Corn-Corn,4,8,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Dbl Crop WinWht/Soybeans-Corn,3.24,2,4,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Dbl Crop WinWht/Soybeans-Corn,3.46,1,4,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Grassland/Pasture-Corn,0,1,3.46,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Grassland/Pasture-Corn,1.41,1,3.46,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Grassland/Pasture-Corn,2,1,3.46,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Grassland/Pasture-Corn,2.45,1,3.46,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Grassland/Pasture-Corn,2.65,9,3.46,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Grassland/Pasture-Corn,2.83,7,3.46,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Grassland/Pasture-Corn,3.46,7,3.46,TRUE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Grassland/Pasture-Corn,4,4,3.46,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Grassland/Pasture-Corn,4.24,1,3.46,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Soybeans-Corn,3.24,8,4,FALSE
Alfalfa-Alfalfa-Alfalfa-Grassland/Pasture-Soybeans-Corn,3.46,10,4,FALSE
