"term","estimate","boot_se","ci_lower","ci_upper","boot_p","is_sequence"
"C-C-C-C-S-C",-2.59206151783439,1.50395338595063,-5.68450487359018,0.219320788638652,0.0700700700700701,TRUE
"C-C-C-S-C-C",-1.42584957710953,1.70810850691987,-4.72341342061794,1.79319214325372,0.382382382382382,TRUE
"C-C-C-S-S-C",-4.02911055957121,6.40685582066423,-16.6244876355442,8.23452664378141,0.464464464464464,TRUE
"C-C-C-S-W-C",-3.48065071981899,7.65681370321985,-16.5808327671162,12.7711789668667,0.612612612612613,TRUE
"C-C-S-C-C-C",-2.23640439470922,1.87793538068592,-5.88461018562369,1.34008723179099,0.224224224224224,TRUE
"C-C-S-C-S-C",-2.71463122068271,1.41363001841901,-5.4765155809027,0.0211978791517981,0.0520520520520521,TRUE
"C-S-C-C-C-C",-1.36926583871798,2.07423036648321,-5.27480125382069,2.51289005353732,0.548548548548549,TRUE
"C-S-C-C-S-C",-1.47483418307489,1.54055379204415,-4.8669064512452,1.28841873116799,0.24024024024024,TRUE
"C-S-C-S-C-C",-2.72363823747054,1.74651847882969,-6.2227878313636,0.759707602115855,0.136136136136136,TRUE
"C-S-C-S-S-C",-0.402054312460313,2.08163484550574,-4.82026409986581,3.33085714960021,0.794794794794795,TRUE
"C-S-C-W-S-C",1.87533005675783,14.1167066520758,-29.6582643117495,21.9958822890194,0.568568568568569,TRUE
"C-S-S-S-S-C",3.47556278731938,7.53298902288927,-10.9416837514967,18.6477301817856,0.626626626626627,TRUE
"S-C-C-C-C-C",-2.65759008749288,1.92197474261435,-6.61781145965944,0.777588910799217,0.114114114114114,TRUE
"S-C-C-C-S-C",-1.36821519529681,1.71189779046711,-5.03474549492327,1.56820557131417,0.356356356356356,TRUE
"S-C-C-S-S-C",-5.92735588462572,4.13263827700242,-13.8537902080065,2.48992192267318,0.134134134134134,TRUE
"S-C-C-S-W-C",-1.41288182780429,9.50798671668729,-19.3440845565366,17.2984833687326,0.826826826826827,TRUE
"S-C-S-C-C-C",-0.326778531915328,1.9430468912427,-4.29158087925817,3.35214440348941,0.822822822822823,TRUE
"S-C-S-C-S-C",-1.97409821730136,1.39868889131468,-4.9826106930217,0.652609498591004,0.128128128128128,TRUE
"S-C-S-S-C-C",4.42362489127339,5.09980833432748,-5.9677356303076,13.5581289492799,0.48048048048048,TRUE
"S-C-S-S-S-C",-1.20017766926667,2.96454291901386,-7.35144388592109,4.01869757940665,0.538538538538539,TRUE
"S-C-S-W-S-C",-4.62999053493582,5.73192881437941,-16.5688105161341,5.82780380662772,0.346346346346346,TRUE
"S-S-C-C-C-C",12.7041258575905,9.70912681601244,-7.31742760210062,30.4797407863083,0.32032032032032,TRUE
"S-S-C-C-S-C",-1.85725694276515,3.95947986994478,-8.71562544091389,6.87642169752248,0.724724724724725,TRUE
"S-S-C-S-C-C",-3.02069377237014,6.36641071069977,-18.8570772283116,5.69431926353443,0.306306306306306,TRUE
"S-S-C-S-S-C",0.310035888419709,3.6838616121728,-7.469160446015,6.89778440643312,0.826826826826827,TRUE
"S-S-S-C-S-C",-0.211191737774226,2.76767016527038,-5.42483073130327,5.45810615664008,0.976976976976977,TRUE
"S-S-S-S-S-C",-6.58508142441182,4.8209241041556,-14.8156180616387,4.25856988530717,0.254254254254254,TRUE
"W-C-C-S-W-C",19.9907479420003,20.7478679275403,-20.3660297573052,59.6203203242692,0.774774774774775,TRUE
"pr_6",0.0267414897351881,0.0248667641399821,-0.019065732359458,0.079988724756942,0.166166166166166,FALSE
"pr_7",-0.0621691923920068,0.0177575517119373,-0.104644753121844,-0.0333377683701219,0,FALSE
"pr_8",-0.0155070890720274,0.016712193403498,-0.0453134351624221,0.019603643326537,0.418418418418418,FALSE
"I(I(pr_6^2))",1.82232608720025e-05,8.77461349899089e-05,-0.000166692216037192,0.000174101446589674,0.990990990990991,FALSE
"I(I(pr_7^2))",0.000280034537890033,6.49351397791446e-05,0.00017935862332385,0.000430528437861992,0,FALSE
"I(I(pr_8^2))",6.35486223696859e-06,5.19596569418865e-05,-0.000107180687374619,9.13800523877261e-05,0.978978978978979,FALSE
"cGDD_6m",-0.132050579109814,0.130104483096908,-0.396242617391767,0.098984417352417,0.246246246246246,FALSE
"cGDD_7m",0.0518460246112309,0.0870256358396163,-0.114782295080791,0.210895197992234,0.596596596596597,FALSE
"cGDD_8m",-0.301180133773766,0.0856362984241553,-0.485708063771013,-0.15126079853389,0,FALSE
"EDD_6",7.94631126179431,3.82855560903467,1.19147627963987,16.4190264862803,0.026026026026026,FALSE
"EDD_7",-0.540459033828042,2.85346304090519,-6.82033021099446,4.42875425112525,0.726726726726727,FALSE
"EDD_8",3.09897410966931,2.79318475761902,-1.97302242933728,9.04103738372487,0.208208208208208,FALSE
"vpd_6",1.49295852665713,8.46657613242163,-15.2772509488964,17.1768223945711,0.982982982982983,FALSE
"vpd_7",6.07618130682078,6.44495664809826,-4.75515708551215,19.9166715276739,0.266266266266266,FALSE
"vpd_8",-0.236072828555189,4.91031072117507,-10.3099553041234,9.23345230351737,0.912912912912913,FALSE
"soil_6",-0.0790007678577087,0.0200400861347445,-0.124347236317661,-0.0457754986051981,0,FALSE
"soil_7",0.0115924697126367,0.0228418988842868,-0.0303135689429001,0.0607176954645842,0.520520520520521,FALSE
"soil_8",0.0482906834879238,0.0179175992805525,0.0106071924334395,0.0825507715534207,0.00600600600600601,FALSE
