"rot_cropC-C-C-C-S-C" "rot_cropC-C-C-S-C-C" "rot_cropC-C-C-S-S-C" "rot_cropC-C-C-S-W-C" "rot_cropC-C-S-C-C-C" "rot_cropC-C-S-C-S-C" "rot_cropC-S-C-C-C-C" "rot_cropC-S-C-C-S-C" "rot_cropC-S-C-S-C-C" "rot_cropC-S-C-S-S-C" "rot_cropC-S-C-W-S-C" "rot_cropC-S-S-S-S-C" "rot_cropS-C-C-C-C-C" "rot_cropS-C-C-C-S-C" "rot_cropS-C-C-S-S-C" "rot_cropS-C-C-S-W-C" "rot_cropS-C-S-C-C-C" "rot_cropS-C-S-C-S-C" "rot_cropS-C-S-S-C-C" "rot_cropS-C-S-S-S-C" "rot_cropS-C-S-W-S-C" "rot_cropS-S-C-C-C-C" "rot_cropS-S-C-C-S-C" "rot_cropS-S-C-S-C-C" "rot_cropS-S-C-S-S-C" "rot_cropS-S-S-C-S-C" "rot_cropS-S-S-S-S-C" "rot_cropW-C-C-S-W-C" "pr_6" "pr_7" "pr_8" "I(I(pr_6^2))" "I(I(pr_7^2))" "I(I(pr_8^2))" "cGDD_6m" "cGDD_7m" "cGDD_8m" "EDD_6" "EDD_7" "EDD_8" "vpd_6" "vpd_7" "vpd_8" "soil_6" "soil_7" "soil_8" "rootznaws_mean"
"rot_cropC-S-C-W-S-C" 1847.87621046685 1.14045682588071 3272.47374085233 7050.88271129601 5247.67281246572 3465.45337542647 3498.76532646136 2816.13512781577 2910.07287932528 1913.47512428086 384722.69427697 11528.1402079636 -211.403347259941 3417.16469354816 11318.6726914315 -1844.72589675985 3737.91740040554 4656.01326839292 3899.94944471222 9971.22508180499 11787.9889115273 -7401.65067470167 4354.9353294646 776.960487807713 10312.2575422701 2881.76908152697 6902.06307938298 -7325.35804351137 -20.5198805844673 8.83447960109624 23.2936679914409 0.0819293221626393 -0.0182435533271532 -0.0490830238993904 -306.822478761556 -51.5155076548087 13.8685790410098 8520.69349940673 -86.0936779168021 -704.136259356792 -7536.85013986608 1284.80252801121 2682.59226903284 -2.64530428985892 -11.1209433824728 1.83608560567486 -308320.597213446
"rot_cropC-S-S-S-S-C" 2660.36006934634 3058.42880283104 5496.04955007571 3831.44000699832 4609.09814603767 4941.95039135739 2349.92911226313 4618.97282180995 5119.6467020181 6868.24251191865 11528.1402079636 68838.0562240333 2587.15466030459 4407.30330318824 8696.4724911669 10486.0368112626 4120.74101165911 6328.98520844635 4904.35588257139 11402.193049727 8663.31449775329 8621.57730863695 6172.13808643827 834.418099767483 13407.6158731427 9987.65586555439 7302.6346689264 4880.25452625262 -8.06465539187182 -8.05197390099868 -5.04192206507218 0.0486409555357681 0.0268632828828891 0.00557420665739321 43.5141257538633 -3.78444793962292 -72.3428569093463 -1336.47673215847 127.323112001575 710.952490095677 1881.98270841472 424.747958033283 1768.99960616689 5.28133909068095 -0.126314838851173 6.60537284726165 -195458.729471853
"rot_cropS-C-C-C-C-C" 2486.79143985919 2667.78356201807 5391.97546725731 2266.11604633099 2897.33490491553 2812.50682198588 2132.75763719261 2554.99975094052 2652.54593759107 2841.6993041539 -211.403347259941 2587.15466030459 7517.17438961003 2356.59915840508 2009.04161018468 2162.16701493646 2743.84473492521 2619.54729875158 2128.29366431088 3044.92282506349 2637.47003191785 3418.14974307439 1925.7772944923 1377.73617362341 2292.03018552542 2903.07103349888 2771.62936860878 3847.78602186272 -0.21866738341166 -2.71080614356998 0.56879359495085 -0.00198221168466036 0.0102634042596135 0.00176791428994295 -8.3001590969618 -18.6284324401381 -3.20511382427142 90.0900722778609 494.862530263388 126.288029101693 -173.749266373092 -713.880118269627 -203.16031335334 4.34306627859384 -1.88972325083982 0.130975303726367 -62159.5855677563
"rot_cropS-C-C-C-S-C" 2621.66823894991 3994.82681138977 6421.30090329024 1363.65679272741 3636.91866284562 4421.33716707886 3064.14651259927 4185.80228377932 3899.74186290862 4568.8640364512 3417.16469354816 4407.30330318824 2356.59915840508 8265.96469512322 4005.30549520554 4705.14812699275 3789.7791261978 4515.9116186493 3528.44012035045 4874.87280721569 4735.10509049703 2875.05202975379 4082.40311612988 3076.85056359486 4736.65604843456 4468.32429142148 4623.3219913585 3836.5294203633 -14.1053822138888 2.58082603583444 -0.825251177006183 0.0467869149412778 -0.0120910531875097 0.00122863421341389 -8.56197517530653 1.6081844295372 8.63704381947579 105.213409743495 4.83546560953011 -441.979225777601 538.030393349031 -824.568239192025 388.892278975806 2.70642290298629 -3.78139883675254 3.1441444597592 -113556.43855921
"rot_cropS-C-C-S-S-C" 2506.20326487935 3269.73658575639 11869.4556285762 2053.83876507765 3110.38139489898 4472.54869580412 3166.90911575974 3889.50328226789 4615.67458222306 5644.13460156676 11318.6726914315 8696.4724911669 2009.04161018468 4005.30549520554 57164.8882374459 5961.29741407397 3901.03913714413 4917.23709633283 4352.13129706004 6011.51076818462 7067.81198215444 7508.40815360919 5064.63558223499 7244.17852410884 8172.99394038167 3950.16542708645 3896.62313713488 3734.76917927366 -9.52125987773708 -0.871583560868685 -1.25717486507933 0.0297327870510261 0.0100277799321217 0.00329911697006592 -44.0699862546614 -63.1108184134181 0.960323402730003 1144.50731289641 2061.50151013417 -112.005358016897 -822.304594199736 -2932.22730832645 1376.37129788674 0.410408129266187 -9.28514786221325 3.78183810682566 -34548.6052728652
"rot_cropS-C-C-S-W-C" 2592.77952918462 2624.3785641696 19382.9609193019 5751.33803100314 5525.39834472438 3832.91527779097 5549.2349557637 4331.15242741175 5263.67727895327 5113.2067524627 -1844.72589675985 10486.0368112626 2162.16701493646 4705.14812699275 5961.29741407397 183575.000852761 4084.28888101681 5055.01329045502 1503.47233547151 3899.01021383992 2706.62832905243 11849.3258037082 4292.63588004102 7291.23233246605 4554.92980429915 5268.20306574289 4281.7324099957 22024.0265089203 -11.7659693444287 6.90793337529041 -19.9367208448854 0.0367153500218166 -0.0137146231838744 0.0434191765804294 49.9248615127729 99.5784202434502 -23.6842246262476 -1200.16033945237 -1518.44433051513 340.091986170593 -3400.2822799239 697.041317849521 -836.783100251353 3.92682713111509 -32.7589223941054 24.5992798729007 -814478.08640187
"rot_cropS-C-S-C-C-C" 3172.830499085 2988.00410182421 6251.40604508072 2687.10599147717 3354.9339775513 3902.63121389166 4495.97769222479 3976.84208305854 3854.12254009216 4292.99003515591 3737.91740040554 4120.74101165911 2743.84473492521 3789.7791261978 3901.03913714413 4084.28888101681 9901.50277490429 3959.13950325804 3690.50073894598 4127.52983204462 4453.97227278907 5757.34962899289 3597.50139814748 4492.74973660445 4303.12749552391 3792.47815412071 3769.43086932932 4282.191931354 -6.8304230323274 4.39061528188927 -1.26068393055186 0.0192368103883289 -0.01499310102641 0.00224976805762262 8.43455991526509 36.2935067149926 -13.6745452453181 -165.443111484293 -853.13955333984 -47.5066627225606 -124.606009061996 -264.48150299213 910.86629899566 8.560252842555 -6.64040679998009 3.99803467388534 -100095.376274704
"rot_cropS-C-S-C-S-C" 3132.27684842619 3360.65002545536 7273.2678541912 3837.85779452906 3776.45469385933 4933.05534963959 3650.41509840384 4704.12744452791 4568.96303346534 5479.01130922324 4656.01326839292 6328.98520844635 2619.54729875158 4515.9116186493 4917.23709633283 5055.01329045502 3959.13950325804 5640.09470763468 3927.35349083068 5366.08694539969 6503.04827705014 4474.2535768765 4747.66510992561 3840.45907211362 6075.40918287367 5096.26259179211 5442.87496308783 4929.4855748921 -12.7051251938422 0.386039276325636 4.39142957294451 0.0461072082501639 -0.000672560296632201 -0.0110533467241354 -28.976064048062 1.09667135319319 0.361934686783799 884.956014374911 -55.2879603115669 -37.4823205245403 -1632.17958684403 73.0721704042301 80.6716208616655 5.77995225666517 -3.83601628879566 1.94911246808661 -84895.1466540868
"rot_cropS-C-S-S-C-C" 2849.74500946428 2172.19245097218 2899.57840506461 5016.81644363185 2671.1794574458 4785.35106330322 1954.20914896821 3494.53976022719 3288.65975232634 4383.55563979997 3899.94944471222 4904.35588257139 2128.29366431088 3528.44012035045 4352.13129706004 1503.47233547151 3690.50073894598 3927.35349083068 49050.7085871804 -930.746829301377 6779.92801552896 1506.32733198291 11156.6443963645 3673.41132555366 2768.36327249192 4359.37137844963 4952.30199317925 6229.70663985969 0.283355614362748 -0.321647672176257 7.85939577493061 0.00799168303740231 -0.000411605719325797 -0.0163108512425557 -6.42741343357784 -47.9386468987332 16.8354617922783 -407.434618845597 1455.15509840769 -863.716791764632 755.090601407403 -3917.01110731401 2002.84557983067 -0.508206484848212 -10.3927619229595 6.86980383141055 -123748.062394399
"rot_cropS-C-S-S-S-C" 2962.18112015877 3744.60516034691 6266.41324703777 4477.80039030339 4485.75233688681 4966.09958678379 2822.75250683702 5093.82286121807 4936.5563471009 6786.11481994619 9971.22508180499 11402.193049727 3044.92282506349 4874.87280721569 6011.51076818462 3899.01021383992 4127.52983204462 5366.08694539969 -930.746829301377 40352.423906583 8242.40934677372 6918.08985627664 2045.20769960357 5414.24727713059 10875.0206698859 15833.0044044934 11615.2608559925 6790.08038591802 -16.6221819758926 -16.5063837919416 -10.079622630964 0.0513062876302251 0.056619371385838 -0.00652646560163775 104.718710380401 29.3351306567895 -130.311694364774 -4484.07089494398 -1125.26035317578 85.3698682146917 8253.90877366896 -883.743603526191 4761.38614113087 13.3422938550969 -12.1461931316409 10.2716037970828 -225517.635580591
