"rot_cropC-C-C-C-S-C" "rot_cropC-C-C-S-C-C" "rot_cropC-C-C-S-S-C" "rot_cropC-C-C-S-W-C" "rot_cropC-C-S-C-C-C" "rot_cropC-C-S-C-S-C" "rot_cropC-S-C-C-C-C" "rot_cropC-S-C-C-S-C" "rot_cropC-S-C-S-C-C" "rot_cropC-S-C-S-S-C" "rot_cropC-S-C-W-S-C" "rot_cropC-S-S-S-S-C" "rot_cropS-C-C-C-C-C" "rot_cropS-C-C-C-S-C" "rot_cropS-C-C-S-S-C" "rot_cropS-C-C-S-W-C" "rot_cropS-C-S-C-C-C" "rot_cropS-C-S-C-S-C" "rot_cropS-C-S-S-C-C" "rot_cropS-C-S-S-S-C" "rot_cropS-C-S-W-S-C" "rot_cropS-S-C-C-C-C" "rot_cropS-S-C-C-S-C" "rot_cropS-S-C-S-C-C" "rot_cropS-S-C-S-S-C" "rot_cropS-S-S-C-S-C" "rot_cropS-S-S-S-S-C" "rot_cropW-C-C-S-W-C" "pr_6" "pr_7" "pr_8" "I(I(pr_6^2))" "I(I(pr_7^2))" "I(I(pr_8^2))" "cGDD_6m" "cGDD_7m" "cGDD_8m" "EDD_6" "EDD_7" "EDD_8" "vpd_6" "vpd_7" "vpd_8" "soil_6" "soil_7" "soil_8" "rootznaws_mean"
"rot_cropS-C-S-W-S-C" 3451.06017590439 2363.5822784463 10573.6348665857 2410.16013319913 4619.76128333177 5493.9065444773 5460.10115525721 5710.69357316989 5190.13798429477 5121.32689058526 11787.9889115273 8663.31449775329 2637.47003191785 4735.10509049703 7067.81198215444 2706.62832905243 4453.97227278907 6503.04827705014 6779.92801552896 8242.40934677372 113709.863988732 10537.5564618213 2970.20154053895 3463.21162704591 8994.18900509 6175.12191817375 7061.03049697171 -2294.85202762699 -11.1112621241358 -4.25012850922576 2.43592252303771 0.0692963417533945 0.0183370057532885 -0.0111178591619241 -170.766218299192 -51.421981286786 -7.63439591966045 4637.02081741815 905.472161141462 -784.132324028365 -9342.35225907709 3648.10285998918 2722.21700697266 -10.3226766308936 8.81528832981361 2.08687508135697 -70482.9038661366
"rot_cropS-S-C-C-C-C" 3941.01536511001 3735.28991851442 13041.6637921607 13931.2031528167 4542.19580857035 4236.86192120548 2162.40959801155 4493.15276065301 3898.26232324966 4215.59467114969 -7401.65067470167 8621.57730863695 3418.14974307439 2875.05202975379 7508.40815360919 11849.3258037082 5757.34962899289 4474.2535768765 1506.32733198291 6918.08985627664 10537.5564618213 109232.611711449 3669.8630702139 1867.98524622996 7284.78108521298 5282.60199636673 4109.91843336448 15548.7397700036 -32.4003401910594 -7.33326387745462 -12.4824715250488 0.124077523650715 0.0319977994085457 0.0405336992673144 -105.327020967606 71.5300532974884 20.1690863683505 1810.71169690357 -2267.59276317588 -864.204086388417 -343.961166315381 1783.30438913112 2413.86135481973 2.32630389007923 -1.9356285277017 9.00246727070019 -96331.7878125419
"rot_cropS-S-C-C-S-C" 2628.90832129871 3482.55928432429 5863.09907088307 2392.26081515409 4009.93107307721 4447.44440736634 3499.80936567143 4906.73985774126 4732.21484986809 5090.22148111356 4354.9353294646 6172.13808643827 1925.7772944923 4082.40311612988 5064.63558223499 4292.63588004102 3597.50139814748 4747.66510992561 11156.6443963645 2045.20769960357 2970.20154053895 3669.8630702139 38995.4632694844 5237.98681762204 3871.09086258557 4656.08178166513 4756.12411692485 -325.743105463885 -11.3734453296907 -5.85263797175228 -0.316705894467196 0.044024088834 0.0152928561423577 -0.00293752932886461 17.3137779301823 29.3934268506449 -23.8281459643714 -339.605111626507 -1018.58018331766 515.799514047004 -245.368765977191 532.137577853951 -78.8343404490308 6.2689394169808 -9.89474890108932 12.5859247057161 -93043.5379159444
"rot_cropS-S-C-S-C-C" 3329.25679793985 3056.534629129 11259.9451673189 -5536.82879164522 4012.42789138177 3375.81861444891 3696.70186682605 4320.07699303194 3835.58645997774 4545.5503139329 776.960487807713 834.418099767483 1377.73617362341 3076.85056359486 7244.17852410884 7291.23233246605 4492.74973660445 3840.45907211362 3673.41132555366 5414.24727713059 3463.21162704591 1867.98524622996 5237.98681762204 61559.5834356913 6491.97267995564 3406.88156041961 6830.84524130154 6274.43114620923 3.02390964971123 -9.68585959483041 1.64737259938302 -0.000894629355563572 0.0197072535525525 -0.00873228527007098 -51.0907288527381 -14.8817299834746 -5.54700476013155 897.915086651648 1053.71324773906 -135.608405006621 385.101597000987 -1700.38596932948 305.702480992268 16.0243072314544 -0.126666476009754 0.242339512632637 -210696.219531257
"rot_cropS-S-C-S-S-C" 2734.86450091011 3258.83105380739 7803.87805537545 2614.02614222585 4182.79281720015 5442.2865284027 3532.62582812606 4958.1131860008 5184.35247277168 8306.42846832941 10312.2575422701 13407.6158731427 2292.03018552542 4736.65604843456 8172.99394038167 4554.92980429915 4303.12749552391 6075.40918287367 2768.36327249192 10875.0206698859 8994.18900509 7284.78108521298 3871.09086258557 6491.97267995564 27137.5342725076 8454.63189024985 9529.69040511779 5459.0481986844 -17.8145155237965 1.69207633170663 6.0793888144416 0.0602290019813702 -0.000663967577419914 -0.0252621547916362 -27.66635448839 -8.17305920197869 -25.4773170061299 545.457640257035 522.368055883416 359.431310903056 591.901223330393 -1156.8833991801 669.547543313876 18.8941849514964 -9.29257794559919 2.41055400429987 -143195.926712162
"rot_cropS-S-S-C-S-C" 2619.25251670559 3611.72200040796 5974.45534903678 1923.5858729776 4015.32726212793 4575.24447113443 3751.00106149332 4696.95136620198 4743.09006634124 6121.94083307679 2881.76908152697 9987.65586555439 2903.07103349888 4468.32429142148 3950.16542708645 5268.20306574289 3792.47815412071 5096.26259179211 4359.37137844963 15833.0044044934 6175.12191817375 5282.60199636673 4656.08178166513 3406.88156041961 8454.63189024985 19911.9277714082 10336.6302227661 6289.20047161561 -13.1593749434484 -4.74054363342653 -7.25519907949949 0.0481067304488241 0.0283532153998977 -0.00605101092368319 120.005625024309 47.5398993462826 -101.98137108612 -4378.0981636128 -1474.75303058476 -256.946909140894 7249.09161730304 -1664.95366931433 5416.44650168629 13.1288558997653 -15.3152458790912 10.120546006011 -182191.663218531
"rot_cropS-S-S-S-S-C" 3239.32844861973 3505.97247896523 6325.28345566054 1664.90494915357 4391.38851612104 4959.20040518368 3953.95751687069 4642.95942965648 4777.971993742 6321.54958851626 6902.06307938298 7302.6346689264 2771.62936860878 4623.3219913585 3896.62313713488 4281.7324099957 3769.43086932932 5442.87496308783 4952.30199317925 11615.2608559925 7061.03049697171 4109.91843336448 4756.12411692485 6830.84524130154 9529.69040511779 10336.6302227661 26352.071181134 5850.58740896949 -27.1669979662909 0.64264157700429 -2.12936732115565 0.0925895438023479 0.00532139311593643 -0.00287649373234282 50.9544234224612 26.6027970615096 -45.6422500593028 -1490.15304061361 -716.899135819509 -91.6397064418592 934.310856010644 -169.251495726783 2342.58448554633 21.1515205630722 -11.8093252051126 4.3555535542769 -168712.173222336
"rot_cropW-C-C-S-W-C" 5137.25267633081 7629.17107375455 11825.881412623 26178.7641401389 5512.97339579125 4546.18640078787 4976.83386682676 6737.1337018173 5119.03339068565 5409.66528120523 -7325.35804351137 4880.25452625262 3847.78602186272 3836.5294203633 3734.76917927366 22024.0265089203 4282.191931354 4929.4855748921 6229.70663985969 6790.08038591802 -2294.85202762699 15548.7397700036 -325.743105463885 6274.43114620923 5459.0481986844 6289.20047161561 5850.58740896949 218298.957728206 -12.3791933780178 -11.0950213142597 -10.0240423814164 0.0532212941548318 0.0296513970548913 0.0129113142535557 -1.02558264397019 -42.4297173208406 -0.771502023444668 55.5753044611961 1157.81299459345 -71.9561568504053 -2122.77874508324 -602.264509136347 78.3990877937818 16.1101896997802 -9.4641061124892 1.56532677155594 -928622.91672805
"pr_6" -6.37687052100347 -18.8036381038435 -42.7964658783802 -24.5660242486265 -5.63240871364781 -11.4274934202593 -36.4994296325083 -19.1457540321228 -3.10089977900802 -7.06977746868722 -20.5198805844673 -8.06465539187182 -0.21866738341166 -14.1053822138888 -9.52125987773708 -11.7659693444287 -6.8304230323274 -12.7051251938422 0.283355614362748 -16.6221819758926 -11.1112621241358 -32.4003401910594 -11.3734453296907 3.02390964971123 -17.8145155237965 -13.1593749434484 -27.1669979662909 -12.3791933780178 3.15389972453855 -0.229291409630738 0.217954328254524 -0.0106187056157011 0.000842810585077511 -0.000638350171445077 -0.784630904252417 -3.26089405117699 1.11936804688912 26.459033962572 81.4483142804719 -22.2092758875639 4.66858148413787 -16.4142266592572 10.2666552701406 -0.640828300892354 -0.00233311989736055 0.116356587002156 649.929033715947
"pr_7" -1.07708921788919 7.58886614646062 -22.109839455483 5.06415925093905 0.610594550729984 -4.3819596204956 40.5989005855968 2.82853863666079 -3.09423152803234 -12.5243489026649 8.83447960109624 -8.05197390099868 -2.71080614356998 2.58082603583444 -0.871583560868685 6.90793337529041 4.39061528188927 0.386039276325636 -0.321647672176257 -16.5063837919416 -4.25012850922576 -7.33326387745462 -5.85263797175228 -9.68585959483041 1.69207633170663 -4.74054363342653 0.64264157700429 -11.0950213142597 -0.229291409630738 0.865355270842472 -0.132621398553119 0.000408256868502204 -0.00277308297402744 0.000391701819692724 1.92317106672517 2.94117539196398 -0.53862441527066 -50.175103730314 -60.2927574016856 22.7203585157108 74.4210606754514 -31.1850910658321 -2.92181496798903 0.1804623383526 -0.281238507017619 0.163292818945722 -129.461765517261
"pr_8" -0.322705909784715 -10.5437783550562 5.55010578764316 2.36062036283773 0.922526291602969 4.45822795798527 -11.2685091835114 1.26379310170391 7.31384832222199 8.97532419149945 23.2936679914409 -5.04192206507218 0.56879359495085 -0.825251177006183 -1.25717486507933 -19.9367208448854 -1.26068393055186 4.39142957294451 7.85939577493061 -10.079622630964 2.43592252303771 -12.4824715250488 -0.316705894467196 1.64737259938302 6.0793888144416 -7.25519907949949 -2.12936732115565 -10.0240423814164 0.217954328254524 -0.132621398553119 0.559474737362154 -0.000531412489425495 0.000492269613773419 -0.00160791029670701 -1.8702735395263 -1.54979451905855 0.457910963798068 56.0287466395162 32.3822470295199 -11.940146302159 -86.3303230171505 5.45653789128027 14.2716423827418 0.0209568291893144 0.135005955566479 -0.161956002416554 237.807008253592
"I(I(pr_6^2))" 0.0236495939414328 0.0496871711443623 0.154841839590189 0.0808192432147994 0.0212530863077376 0.0438204359842187 0.0973371351414779 0.0649319782507885 0.0192826004735335 0.033966681018286 0.0819293221626393 0.0486409555357681 -0.00198221168466036 0.0467869149412778 0.0297327870510261 0.0367153500218166 0.0192368103883289 0.0461072082501639 0.00799168303740231 0.0513062876302251 0.0692963417533945 0.124077523650715 0.044024088834 -0.000894629355563572 0.0602290019813702 0.0481067304488241 0.0925895438023479 0.0532212941548318 -0.0106187056157011 0.000408256868502204 -0.000531412489425495 3.6905501110272e-05 -1.59678319560942e-06 1.58888334017173e-06 -0.000371838418149145 0.0093741704513123 -0.00331388389527625 -0.0178720240034251 -0.247821185305804 0.0377963022185111 -0.0662083939801427 0.110108564678993 0.0294626123170689 0.00201111087710221 0.000204954401110487 -0.00053631064396868 -2.23938090730184
"I(I(pr_7^2))" 0.00438346666387217 -0.0220028109619271 0.0781374350247807 -0.0247134968244251 -0.003417280390288 0.0134432897516168 -0.119511478078373 -0.0072340565894431 0.0143008188887987 0.0441942398887411 -0.0182435533271532 0.0268632828828891 0.0102634042596135 -0.0120910531875097 0.0100277799321217 -0.0137146231838744 -0.01499310102641 -0.000672560296632201 -0.000411605719325797 0.056619371385838 0.0183370057532885 0.0319977994085457 0.0152928561423577 0.0197072535525525 -0.000663967577419914 0.0283532153998977 0.00532139311593643 0.0296513970548913 0.000842810585077511 -0.00277308297402744 0.000492269613773419 -1.59678319560942e-06 9.83066354439548e-06 -1.43641489436507e-06 -0.00558070979858609 -0.00924627420641384 0.00178003457094768 0.153150581565849 0.18837598704883 -0.0876097697739902 -0.238860889196468 0.0792067274413385 0.0653759724426909 -0.000265797253916139 0.00067606374905196 -0.000545742161958152 0.559203357696099
"I(I(pr_8^2))" 0.00453253766368777 0.0281038468812691 -0.0186034548884873 -0.0240493479776984 -0.000375385615289061 -0.0124224591558781 0.0374827821039708 -0.00585006108694424 -0.0244565198736761 -0.0278837372104712 -0.0490830238993904 0.00557420665739321 0.00176791428994295 0.00122863421341389 0.00329911697006592 0.0434191765804294 0.00224976805762262 -0.0110533467241354 -0.0163108512425557 -0.00652646560163775 -0.0111178591619241 0.0405336992673144 -0.00293752932886461 -0.00873228527007098 -0.0252621547916362 -0.00605101092368319 -0.00287649373234282 0.0129113142535557 -0.000638350171445077 0.000391701819692724 -0.00160791029670701 1.58888334017173e-06 -1.43641489436507e-06 5.38747019276468e-06 0.00449564231996215 0.00383327190098578 -0.000202178314283165 -0.13106080623847 -0.0720081286812369 0.0135835915719514 0.20886012854917 -0.052154872977258 -0.026363202103839 -6.64087719686821e-05 -0.00027773879943202 0.000321115243246765 -0.450469565914074
"cGDD_6m" -26.1673822390834 96.0946812586686 -257.681383228037 -51.502014776466 -33.7181564135062 -29.4127567661592 131.756031456883 -17.0408028703701 -21.5626613489064 -75.4463939244216 -306.822478761556 43.5141257538633 -8.3001590969618 -8.56197517530653 -44.0699862546614 49.9248615127729 8.43455991526509 -28.976064048062 -6.42741343357784 104.718710380401 -170.766218299192 -105.327020967606 17.3137779301823 -51.0907288527381 -27.66635448839 120.005625024309 50.9544234224612 -1.02558264397019 -0.784630904252417 1.92317106672517 -1.8702735395263 -0.000371838418149145 -0.00558070979858609 0.00449564231996215 45.3261946527315 14.5557421297609 -9.44843886649773 -1177.59733527482 -260.788172945625 210.860368389263 1195.79736718273 -349.025174380625 -153.145897075653 0.170669334353775 -1.14529138580936 0.742816851282239 -926.758096423479
"cGDD_7m" -7.6100349931984 63.2411975778557 -99.6045672302387 74.941851120587 -15.5143295886028 -38.9867160165647 302.014734077739 23.3358095235357 -26.2865471207681 -98.2599874306118 -51.5155076548087 -3.78444793962292 -18.6284324401381 1.6081844295372 -63.1108184134181 99.5784202434502 36.2935067149926 1.09667135319319 -47.9386468987332 29.3351306567895 -51.421981286786 71.5300532974884 29.3934268506449 -14.8817299834746 -8.17305920197869 47.5398993462826 26.6027970615096 -42.4297173208406 -3.26089405117699 2.94117539196398 -1.54979451905855 0.0093741704513123 -0.00924627420641384 0.00383327190098578 14.5557421297609 35.3045564152719 -6.1269489038719 -379.366440096015 -841.630741414927 180.908210247947 611.735986748001 230.168610470705 -109.023101680822 1.05959751990733 -2.04853074027735 1.67932438293463 -1995.47000155184
"cGDD_8m" 5.3179616426903 -28.6435460460793 40.3832131890131 -23.5995384389915 0.480973023501993 -0.447588735650106 -20.5823503424474 -2.46958336005977 -2.79784038084211 4.33445987609323 13.8685790410098 -72.3428569093463 -3.20511382427142 8.63704381947579 0.960323402730003 -23.6842246262476 -13.6745452453181 0.361934686783799 16.8354617922783 -130.311694364774 -7.63439591966045 20.1690863683505 -23.8281459643714 -5.54700476013155 -25.4773170061299 -101.98137108612 -45.6422500593028 -0.771502023444668 1.11936804688912 -0.53862441527066 0.457910963798068 -0.00331388389527625 0.00178003457094768 -0.000202178314283165 -9.44843886649773 -6.1269489038719 12.9105102474363 257.201940528948 160.156524206558 -325.203110853753 -228.486273324458 -210.358718926951 325.703419369985 -0.54672997533914 -0.0722296572577714 -0.110091700270552 1429.20971293923
"EDD_6" 819.153215779029 -2567.04392972564 6985.49179738107 1316.54985374344 980.457946341136 602.397394312815 -2988.82662185475 633.037335194116 281.875379407457 1843.4000360431 8520.69349940673 -1336.47673215847 90.0900722778609 105.213409743495 1144.50731289641 -1200.16033945237 -165.443111484293 884.956014374911 -407.434618845597 -4484.07089494398 4637.02081741815 1810.71169690357 -339.605111626507 897.915086651648 545.457640257035 -4378.0981636128 -1490.15304061361 55.5753044611961 26.459033962572 -50.175103730314 56.0287466395162 -0.0178720240034251 0.153150581565849 -0.13106080623847 -1177.59733527482 -379.366440096015 257.201940528948 33720.0779950248 5912.88796260785 -5090.13261706907 -44249.07841824 13553.024145151 2496.40838316491 -0.520462028021911 32.3780714381397 -22.089135893191 24684.216439592
"EDD_7" 87.1970592146952 -1732.1369484527 521.939788534841 -2345.32596468679 63.7054483776265 908.166331859881 -6485.8135544034 -677.482263265467 590.676624807031 2175.13626046346 -86.0936779168021 127.323112001575 494.862530263388 4.83546560953011 2061.50151013417 -1518.44433051513 -853.13955333984 -55.2879603115669 1455.15509840769 -1125.26035317578 905.472161141462 -2267.59276317588 -1018.58018331766 1053.71324773906 522.368055883416 -1474.75303058476 -716.899135819509 1157.81299459345 81.4483142804719 -60.2927574016856 32.3822470295199 -0.247821185305804 0.18837598704883 -0.0720081286812369 -260.788172945625 -841.630741414927 160.156524206558 5912.88796260785 22206.7432087913 -4325.67177243114 -8923.46659526367 -13147.789677835 2363.50108923473 -23.0894726127316 34.0260274626186 -36.3407594887933 61729.3898207989
"EDD_8" -297.559387282973 1152.02196592807 -2911.23719583183 500.451755468679 -431.246773571762 -170.123399928374 804.968114790857 -221.363405956899 51.2676349585522 -542.856525141569 -704.136259356792 710.952490095677 126.288029101693 -441.979225777601 -112.005358016897 340.091986170593 -47.5066627225606 -37.4823205245403 -863.716791764632 85.3698682146917 -784.132324028365 -864.204086388417 515.799514047004 -135.608405006621 359.431310903056 -256.946909140894 -91.6397064418592 -71.9561568504053 -22.2092758875639 22.7203585157108 -11.940146302159 0.0377963022185111 -0.0876097697739902 0.0135835915719514 210.860368389263 180.908210247947 -325.203110853753 -5090.13261706907 -4325.67177243114 12284.8852249937 3220.46918538176 6094.67902789795 -18449.7716636114 4.50759507198209 9.58238663697031 -3.18454003351513 -13185.1278082754
"vpd_6" -2253.99115790924 3634.00271680385 -14611.4413494498 -5110.57768641771 -1360.88915522426 -1256.5344130279 4028.72309921361 -2287.81076870623 455.314244886277 -3055.78326444256 -7536.85013986608 1881.98270841472 -173.749266373092 538.030393349031 -822.304594199736 -3400.2822799239 -124.606009061996 -1632.17958684403 755.090601407403 8253.90877366896 -9342.35225907709 -343.961166315381 -245.368765977191 385.101597000987 591.901223330393 7249.09161730304 934.310856010644 -2122.77874508324 4.66858148413787 74.4210606754514 -86.3303230171505 -0.0662083939801427 -0.238860889196468 0.20886012854917 1195.79736718273 611.735986748001 -228.486273324458 -44249.07841824 -8923.46659526367 3220.46918538176 120393.32312012 -34763.7613863812 1965.09848346098 12.709121905036 -65.4462240625679 31.1574375250177 -22270.0544516651
"vpd_7" 1148.46780545125 76.5512847177503 5829.0102020795 2821.58928577478 763.518652610569 348.338925905994 -3353.18064766063 -143.660321782764 -54.5005530954901 -2.36913754235927 1284.80252801121 424.747958033283 -713.880118269627 -824.568239192025 -2932.22730832645 697.041317849521 -264.48150299213 73.0721704042301 -3917.01110731401 -883.743603526191 3648.10285998918 1783.30438913112 532.137577853951 -1700.38596932948 -1156.8833991801 -1664.95366931433 -169.251495726783 -602.264509136347 -16.4142266592572 -31.1850910658321 5.45653789128027 0.110108564678993 0.0792067274413385 -0.052154872977258 -349.025174380625 230.168610470705 -210.358718926951 13553.024145151 -13147.789677835 6094.67902789795 -34763.7613863812 48337.8080273334 -11503.0830520411 -18.06054814886 49.9326289783787 6.97743919489489 -52368.1578294816
"vpd_8" 374.243602843278 -1757.93410067302 3892.8506587842 1390.94168670539 1127.68473853663 137.079528732566 1034.18049932555 753.692397764872 -489.591963915202 1004.71290994803 2682.59226903284 1768.99960616689 -203.16031335334 388.892278975806 1376.37129788674 -836.783100251353 910.86629899566 80.6716208616655 2002.84557983067 4761.38614113087 2722.21700697266 2413.86135481973 -78.8343404490308 305.702480992268 669.547543313876 5416.44650168629 2342.58448554633 78.3990877937818 10.2666552701406 -2.92181496798903 14.2716423827418 0.0294626123170689 0.0653759724426909 -0.026363202103839 -153.145897075653 -109.023101680822 325.703419369985 2496.40838316491 2363.50108923473 -18449.7716636114 1965.09848346098 -11503.0830520411 39836.4669840993 21.7797968311417 -31.7363448739031 15.3747070260951 -29020.8471704167
"soil_6" 3.72518358248943 4.04484908947325 20.547834751811 32.1124027414695 7.68289410174806 1.23225539563354 23.0568644796617 11.5608013002187 -0.96689053788811 3.4726180936186 -2.64530428985892 5.28133909068095 4.34306627859384 2.70642290298629 0.410408129266187 3.92682713111509 8.560252842555 5.77995225666517 -0.508206484848212 13.3422938550969 -10.3226766308936 2.32630389007923 6.2689394169808 16.0243072314544 18.8941849514964 13.1288558997653 21.1515205630722 16.1101896997802 -0.640828300892354 0.1804623383526 0.0209568291893144 0.00201111087710221 -0.000265797253916139 -6.64087719686821e-05 0.170669334353775 1.05959751990733 -0.54672997533914 -0.520462028021911 -23.0894726127316 4.50759507198209 12.709121905036 -18.06054814886 21.7797968311417 0.924813376131584 -0.295462211420015 -0.0588314267007831 -549.738691492988
"soil_7" -2.6523679543913 -5.32768424221859 5.15284497999846 -16.7842138751622 -2.83428374338835 -1.3981115188994 -27.6711826634563 -3.59099734709675 -1.0676449600642 -0.0571511002415047 -11.1209433824728 -0.126314838851173 -1.88972325083982 -3.78139883675254 -9.28514786221325 -32.7589223941054 -6.64040679998009 -3.83601628879566 -10.3927619229595 -12.1461931316409 8.81528832981361 -1.9356285277017 -9.89474890108932 -0.126666476009754 -9.29257794559919 -15.3152458790912 -11.8093252051126 -9.4641061124892 -0.00233311989736055 -0.281238507017619 0.135005955566479 0.000204954401110487 0.00067606374905196 -0.00027773879943202 -1.14529138580936 -2.04853074027735 -0.0722296572577714 32.3780714381397 34.0260274626186 9.58238663697031 -65.4462240625679 49.9326289783787 -31.7363448739031 -0.295462211420015 0.85846207337411 -0.441150874158081 341.086616899674
"soil_8" 3.09057559480365 4.08537774945013 -4.93642094642215 6.52294419402758 3.49999037599827 1.92247654359575 10.1066067062069 2.77599178228523 1.03130035107269 -0.793194862968608 1.83608560567486 6.60537284726165 0.130975303726367 3.1441444597592 3.78183810682566 24.5992798729007 3.99803467388534 1.94911246808661 6.86980383141055 10.2716037970828 2.08687508135697 9.00246727070019 12.5859247057161 0.242339512632637 2.41055400429987 10.120546006011 4.3555535542769 1.56532677155594 0.116356587002156 0.163292818945722 -0.161956002416554 -0.00053631064396868 -0.000545742161958152 0.000321115243246765 0.742816851282239 1.67932438293463 -0.110091700270552 -22.089135893191 -36.3407594887933 -3.18454003351513 31.1574375250177 6.97743919489489 15.3747070260951 -0.0588314267007831 -0.441150874158081 0.502574876906415 -122.786795318353
"rootznaws_mean" -63146.5132895684 -87729.7173080279 -404300.173440085 -323742.416214079 -71354.492404733 -70754.9478293591 -104431.533862411 -74657.8130398106 -35357.4119010955 -52562.3655031076 -308320.597213446 -195458.729471853 -62159.5855677563 -113556.43855921 -34548.6052728652 -814478.08640187 -100095.376274704 -84895.1466540868 -123748.062394399 -225517.635580591 -70482.9038661366 -96331.7878125419 -93043.5379159444 -210696.219531257 -143195.926712162 -182191.663218531 -168712.173222336 -928622.91672805 649.929033715947 -129.461765517261 237.807008253592 -2.23938090730184 0.559203357696099 -0.450469565914074 -926.758096423479 -1995.47000155184 1429.20971293923 24684.216439592 61729.3898207989 -13185.1278082754 -22270.0544516651 -52368.1578294816 -29020.8471704167 -549.738691492988 341.086616899674 -122.786795318353 37708443.2448067
